2635;1;1
1896182263;1;2
134;1;1
2;1;1
38009;1;2
612631;1;4
248455;1;1
5;2;1
1687001;1;6
124013;1;1
181;1;2
577;1;3
1123;1;5
10;2;1
5;1;1
80741;1;2
449;1;3
967;1;5
521930;1;1
2;1;1
42673;1;2
443;1;3
34224538;1;1
2;1;1
271;1;2
1283;1;6
12305;1;1
23;1;1
283;1;2
461;1;3
1013;1;5
12190;1;1
10;1;1
324059;1;3
1091;1;5
18430;1;1
2;1;1
809;1;4
1892993;1;6
327218;1;1
2;1;1
359;1;2
245603;1;3
22412035;1;1
5;1;1
431;1;3
1321;1;6
6205;1;1
29893;1;2
397;1;3
1123;1;5
974072545;1;1
90109;1;2
10;1;1
2;1;1
11444287;1;2
373;1;3
1091;1;5
8174;1;1
122;1;1
75301;1;2
1433;1;6
2;2;1
199;1;2
239011;1;3
659;1;4
1013;1;5
11155;1;1
115;1;1
179;1;2
547;1;3
1171;1;6
1268104129;1;1
139;1;2
1093;1;5
426190;1;1
2;1;1
421;1;3
605621;1;4
2493635;1;1
127;1;2
701;1;4
1019;1;5
7102;1;1
2;1;1
66203;1;2
397;1;3
641;1;4
58466;1;1
46;1;1
127;1;2
821;1;4
1021;1;5
18430;1;1
2;1;1
14328767;1;2
563;1;3
10;1;1
2;1;1
53929;1;2
577;1;3
513911;1;4
402730;1;1
34;1;1
43921;1;2
613;1;4
287470;1;1
2;1;1
373;1;3
1887827;1;6
82;2;1
107491831;1;3
613;1;4
31930;1;1
10;1;1
5;2;1
78391;1;2
719;1;4
86912251;1;1
19;1;1
257;1;2
1129;1;5
26657;1;1
54953;1;2
563;1;3
613;1;4
105730;1;1
10;1;1
373;1;3
1021;1;5
1279;1;6
715765;1;1
701;1;4
953;1;5
1163;1;6
3298;1;1
194;1;1
773;1;4
997;1;5
1319;1;6
859465;1;1
83;2;1
199;1;2
577;1;3
3910;1;1
2;1;1
311;1;2
373;1;3
773;1;4
997;1;5
418370;1;1
10;1;1
281;1;2
641;1;4
937;1;5
15196045;1;1
127;1;2
397;1;3
929;1;5
106972668455;1;1
23;1;1
311;1;2
40685;1;1
21932387;1;2
907;1;4
611302;1;1
2;1;1
710387;1;4
1021;1;5
418585070;1;1
2;1;1
1072403;1;5
21413189426;1;1
2;1;1
21209;1;2
3563137;1;1
541;1;3
473699;1;4
90371735470;1;1
10;1;1
1013;1;5
10865;1;1
263;1;2
337237;1;3
1021;1;5
892539610;1;1
2;1;1
563;1;3
1019;1;5
39526870;1;1
106;1;1
253021;1;3
5;1;1
263;1;2
577;1;3
1018757;1;5
1433;1;6
7102;1;1
2;1;1
139;1;2
421;1;3
1013;1;5
1319;1;6
21995;1;1
5;1;1
34889;1;2
467;1;3
641;1;4
442795;1;1
5;2;1
283;1;2
541;1;3
701;1;4
819230;1;1
34;1;1
40727;1;2
1051;1;5
59779327255;1;1
5;2;1
809;1;4
12143185;1;1
271;1;2
601;1;3
613;1;4
7522090;1;1
2;1;1
307;1;2
265997;1;3
9430;1;1
10;1;1
25273;1;2
467;1;3
1109;1;5
134045;1;1
9318371;1;2
991;1;5
371110;1;1
170;1;1
5;3;1
167;1;2
967;1;5
2313041;1;1
401;1;3
1153;1;5
1289;1;6
265;1;1
16598789;1;2
349;1;2
907;1;4
1054;1;1
2;1;1
401;1;3
1212137;1;5
1381;1;6
40870;1;1
2;1;1
48511;1;2
389;1;3
937;1;5
2877370;1;1
2;1;1
257291;1;3
1039;1;5
6265706;1;1
2;1;1
263;1;2
431;1;3
1091;1;5
1513;1;1
1362911549;1;2
761;1;4
1955782;1;1
2;1;1
599;1;3
613;1;4
1093;1;5
37145;1;1
5;1;1
13176133;1;2
659;1;4
22637710;1;1
2;1;1
127;1;2
443;1;3
641;1;4
14570758;1;1
2;1;1
42781;1;2
1367;1;6
87482;1;1
2;1;1
50233;1;2
205027;1;3
5;6;1
181;1;2
547;1;3
1167989;1;5
31270;1;1
2;1;1
49901;1;2
583951;1;4
10030;1;1
170;1;1
5;1;1
257;1;2
809;1;4
1049;1;5
615410;1;1
82;1;1
79403;1;2
467;1;3
76630;1;1
2;1;1
16493263;1;2
751;1;4
6805306;1;1
2;1;1
140039611;1;3
10;2;1
5;1;1
24257;1;2
145097;1;3
1103;1;5
5012390;1;1
2;1;1
359;1;2
397;1;3
1367;1;6
338045;1;1
17;1;1
521;2;3
1283;1;6
61981978;1;1
2;1;1
24881;1;2
659;1;4
2029765;1;1
5;1;1
242917;1;3
829;1;4
34359470;1;1
2;1;1
199;2;2
761;1;4
2357254;1;1
2;1;1
449;1;3
1015397;1;5
80617070;1;1
2;1;1
30353;1;2
449;1;3
295986503;1;1
41;1;1
139;1;2
1321;1;6
206;1;1
2;1;1
5459697977;1;2
1013;1;5
225515;1;1
19531087;1;2
523;1;3
410;2;1
5;1;1
2749933159;1;2
268090;1;1
34;1;1
449;1;3
568291;1;4
170;1;1
2;1;1
